	Pid	period	true label	predicted label	logits
0	270806	Old Babylonian (ca. 1900-1600 BC)	12	12	[0.7589642405509949, 3.463510513305664, -0.11103927344083786, 3.2757229804992676, 2.6392593383789062, -2.2267796993255615, 0.04249683767557144, 2.291553020477295, -0.40862536430358887, 3.8402230739593506, -6.241662502288818, -5.483028411865234, 7.900932312011719, -2.566755771636963, -3.790194511413574, -2.1947174072265625, 0.5607065558433533, -0.12691479921340942]
1	217498	Old Akkadian (ca. 2340-2200 BC)	10	11	[-1.2075740098953247, 1.736100196838379, -2.4263641834259033, 0.33409667015075684, 2.1457693576812744, -3.7780025005340576, 0.6575114130973816, 0.20491406321525574, -1.4146372079849243, -2.169520139694214, 0.09281253814697266, 6.705877780914307, 3.461092233657837, -0.9307689666748047, -0.5758784413337708, -0.43660494685173035, -0.5500057935714722, -1.1204817295074463]
2	361043	Old Assyrian (ca. 1950-1850 BC)	11	12	[-3.092313289642334, -3.681878089904785, -6.563713550567627, 3.7490124702453613, -1.5502086877822876, -2.9985809326171875, 0.8746606111526489, 2.4117515087127686, 3.381235122680664, 5.704947471618652, -4.531797409057617, 3.4469099044799805, 5.950682640075684, -0.03929497301578522, -0.07265298068523407, -1.8580626249313354, -1.1865328550338745, 1.8749973773956299]
3	107669	Ur III (ca. 2100-2000 BC)	14	14	[0.955305814743042, -3.796525001525879, -1.2786084413528442, 2.8221843242645264, -1.8285250663757324, 0.5787648558616638, 1.198683261871338, 0.28708723187446594, -0.6572697162628174, -0.226864755153656, 0.09540291130542755, -2.394639730453491, 3.541531801223755, -3.0957491397857666, 4.605111122131348, -0.14734621345996857, 1.1236274242401123, -0.5852423906326294]
4	428626	Middle Babylonian (ca. 1400-1100 BC)	7	12	[-1.4946266412734985, 1.394311785697937, 0.39492928981781006, 3.000776529312134, 0.21595679223537445, -0.33020249009132385, -0.5725297927856445, 0.40364789962768555, 2.37249755859375, 0.25538668036460876, -0.410759836435318, -0.9389676451683044, 3.207448959350586, -3.0094544887542725, 1.0779099464416504, 0.2641911506652832, -0.5508180856704712, -1.5580238103866577]
5	317	Uruk III (ca. 3200-3000 BC)	15	15	[4.09804105758667, 0.4199024736881256, 2.736565589904785, -2.8861653804779053, 2.5859155654907227, 0.9997739791870117, -0.7850189805030823, -1.7413100004196167, -2.3254647254943848, -3.5920610427856445, -4.485339164733887, -4.579926490783691, 2.4986183643341064, -2.405803680419922, -4.8846282958984375, 15.349859237670898, 1.6804217100143433, -5.163106918334961]
6	113701	Ur III (ca. 2100-2000 BC)	14	14	[-1.4323750734329224, -3.194561004638672, 2.741898775100708, 0.4730116128921509, -0.7986578345298767, 4.035294532775879, 1.7836593389511108, 3.6721351146698, 0.30199241638183594, 3.7735819816589355, 1.3329006433486938, -0.8664590120315552, -0.06363358348608017, -4.545919418334961, 4.9134521484375, -5.8460798263549805, -3.787383794784546, -1.2324848175048828]
7	2229	Uruk III (ca. 3200-3000 BC)	15	16	[0.21126580238342285, 3.3432440757751465, -0.06318563967943192, -3.074277877807617, 0.07948915660381317, -1.0159050226211548, -0.4199524521827698, -2.9696288108825684, -0.05771145597100258, -1.1692665815353394, -3.8209362030029297, -1.5350936651229858, -5.0381178855896, -1.6828017234802246, -3.1213958263397217, 6.490035057067871, 9.422215461730957, 0.26736846566200256]
8	361041	Old Assyrian (ca. 1950-1850 BC)	11	3	[-2.2740607261657715, -1.6154502630233765, 1.0133264064788818, 5.585515975952148, -2.7930760383605957, -1.8511639833450317, 0.5860722064971924, 0.1069675087928772, 4.02905797958374, 2.0851542949676514, -1.6255521774291992, 4.852250099182129, 4.531174659729004, -3.067593574523926, -0.4300394356250763, -2.3467485904693604, -4.665897369384766, -1.7174357175827026]
9	398763	Neo-Assyrian (ca. 911-612 BC)	8	8	[1.2477843761444092, -2.2352380752563477, -0.7428295016288757, -3.169431209564209, 1.0410088300704956, 0.2089577615261078, -0.4784511923789978, 0.2848052978515625, 11.437429428100586, 3.1393678188323975, -0.967904269695282, -0.41384458541870117, -3.36264967918396, -1.3186384439468384, -0.03387875482439995, -0.9899472594261169, -1.4193328619003296, -1.097112774848938]
